c=0 N=400  p_N = 3.436818e-13
   q   C_haar(q)    
    1   0.0000e+00
    2   1.0788e+00
    3   1.7446e+00
    4   2.6632e+00
    5   3.9793e+00
    6   5.2666e+00
    7   6.8014e+00
    8   8.7318e+00
    9   1.0698e+01
   10   1.2953e+01
   11   1.5483e+01
   12   1.8364e+01
   13   2.1664e+01
   14   2.5316e+01
   15   2.9428e+01
   16   3.4096e+01
   17   3.9216e+01
   18   4.4938e+01
   19   5.1297e+01
   20   5.8377e+01
   21   6.6262e+01
   22   7.4968e+01
   23   8.4611e+01
   24   9.5299e+01
   25   1.0704e+02
   26   1.2000e+02
   27   1.3430e+02
   28   1.4995e+02
   29   1.6715e+02
   30   1.8600e+02
   31   2.0668e+02
   32   2.2935e+02
   33   2.5412e+02
   34   2.8121e+02
   35   3.1085e+02
   36   3.4313e+02
   37   3.7834e+02
   38   4.1670e+02
   39   4.5849e+02
   40   5.0399e+02
   41   5.5344e+02
   42   6.0718e+02
   43   6.6559e+02
   44   7.2893e+02
