j=400 t=   1 true   lam=1        P=0.0083 G=-0.0043 cert1=0.1949 cert1=0.195 cert2=0.127 cert4=0.082 cert8=0.043 cert16=0.052 cert32=0.041 | winmax 8:0.156 16:0.075 32:0.037 | frac>0.10 8:0.06 16:0.00 32:0.00
j=400 t=   7 true   lam=1        P=0.0064 G=-0.0046 cert1=0.1909 cert1=0.191 cert2=0.123 cert4=0.080 cert8=0.042 cert16=0.052 cert32=0.041 | winmax 8:0.156 16:0.075 32:0.037 | frac>0.10 8:0.06 16:0.00 32:0.00
j=400 t=  66 true   lam=1        P=0.0076 G=-0.0040 cert1=0.1965 cert1=0.196 cert2=0.123 cert4=0.074 cert8=0.039 cert16=0.050 cert32=0.040 | winmax 8:0.156 16:0.075 32:0.039 | frac>0.10 8:0.06 16:0.00 32:0.00
j=400 t= 400 true   lam=1        P=0.0065 G=-0.0047 cert1=0.2153 cert1=0.215 cert2=0.134 cert4=0.083 cert8=0.045 cert16=0.053 cert32=0.041 | winmax 8:0.121 16:0.069 32:0.039 | frac>0.10 8:0.03 16:0.00 32:0.00
j=400 t=2000 true   lam=1        P=0.0094 G=-0.0021 cert1=0.1956 cert1=0.196 cert2=0.129 cert4=0.075 cert8=0.041 cert16=0.052 cert32=0.042 | winmax 8:0.152 16:0.077 32:0.041 | frac>0.10 8:0.05 16:0.00 32:0.00
j=400 t=   1 true   lam=3        P=0.0117 G=-0.0018 cert1=0.2112 cert1=0.211 cert2=0.140 cert4=0.089 cert8=0.043 cert16=0.052 cert32=0.040 | winmax 8:0.130 16:0.064 32:0.042 | frac>0.10 8:0.04 16:0.00 32:0.00
j=400 t=   7 true   lam=3        P=0.0092 G=-0.0038 cert1=0.2110 cert1=0.211 cert2=0.137 cert4=0.085 cert8=0.042 cert16=0.053 cert32=0.040 | winmax 8:0.130 16:0.064 32:0.042 | frac>0.10 8:0.03 16:0.00 32:0.00
j=400 t=  66 true   lam=3        P=0.0080 G=-0.0024 cert1=0.1936 cert1=0.194 cert2=0.128 cert4=0.078 cert8=0.040 cert16=0.051 cert32=0.041 | winmax 8:0.139 16:0.074 32:0.046 | frac>0.10 8:0.06 16:0.00 32:0.00
j=400 t= 400 true   lam=3        P=0.0076 G=-0.0038 cert1=0.2131 cert1=0.213 cert2=0.138 cert4=0.082 cert8=0.042 cert16=0.052 cert32=0.041 | winmax 8:0.101 16:0.057 32:0.029 | frac>0.10 8:0.01 16:0.00 32:0.00
j=400 t=2000 true   lam=3        P=0.0101 G=-0.0021 cert1=0.2284 cert1=0.228 cert2=0.138 cert4=0.078 cert8=0.045 cert16=0.053 cert32=0.044 | winmax 8:0.124 16:0.069 32:0.038 | frac>0.10 8:0.03 16:0.00 32:0.00
j=400 t=   1 true   lam=5        P=0.0081 G=-0.0032 cert1=0.2280 cert1=0.228 cert2=0.145 cert4=0.082 cert8=0.044 cert16=0.053 cert32=0.043 | winmax 8:0.151 16:0.076 32:0.050 | frac>0.10 8:0.06 16:0.00 32:0.00
j=400 t=   7 true   lam=5        P=0.0084 G=-0.0019 cert1=0.2275 cert1=0.228 cert2=0.145 cert4=0.083 cert8=0.045 cert16=0.055 cert32=0.044 | winmax 8:0.151 16:0.076 32:0.050 | frac>0.10 8:0.06 16:0.00 32:0.00
j=400 t=  66 true   lam=5        P=0.0088 G=-0.0028 cert1=0.2098 cert1=0.210 cert2=0.129 cert4=0.076 cert8=0.040 cert16=0.052 cert32=0.043 | winmax 8:0.151 16:0.076 32:0.050 | frac>0.10 8:0.06 16:0.00 32:0.00
j=400 t= 400 true   lam=5        P=0.0080 G=-0.0037 cert1=0.1886 cert1=0.189 cert2=0.129 cert4=0.075 cert8=0.042 cert16=0.051 cert32=0.042 | winmax 8:0.130 16:0.075 32:0.041 | frac>0.10 8:0.04 16:0.00 32:0.00
