(F) theta = 0.17
   N0   Kmax    d=1/108    d=1/54     d=1/36     d=1/24     d=1/16     d=1/12     d=1/8      d=1/6      d=1/4
    30 0.1405   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00  (P>0.17)
    50 0.1595   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00  (P>0.17)
    75 0.1694   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00   0.00e+00  (P>0.17)
   100 0.1745   4.41e-08   1.77e-07   3.97e-07   8.94e-07   2.01e-06   3.57e-06   8.03e-06   1.43e-05  (P>0.17)
   150 0.1796   6.31e-08   2.53e-07   5.68e-07   1.28e-06   2.88e-06   5.11e-06   1.15e-05   2.04e-05  (P>0.17)
   200 0.1822   6.01e-08   2.41e-07   5.41e-07   1.22e-06   2.74e-06   4.87e-06   1.09e-05   1.95e-05  (P>0.17)
   300 0.1848   4.87e-08   1.95e-07   4.38e-07   9.85e-07   2.22e-06   3.94e-06   8.86e-06   1.57e-05  (P>0.17)
   500 0.1868   3.33e-08   1.33e-07   3.00e-07   6.75e-07   1.52e-06   2.70e-06   6.07e-06   1.08e-05  (P>0.17)
  1000 0.1884   1.82e-08   7.29e-08   1.64e-07   3.69e-07   8.30e-07   1.48e-06   3.32e-06   5.90e-06  (P>0.17)
(M) theta = measured max + 0.02
   N0   Kmax    d=1/108    d=1/54     d=1/36     d=1/24     d=1/16     d=1/12     d=1/8      d=1/6      d=1/4
    30 0.1405   3.38e-06   1.20e-05   2.40e-05   4.62e-05   7.57e-05   8.44e-05   0.00e+00   0.00e+00   0.00e+00
    50 0.1595   2.41e-06   8.73e-06   1.78e-05   3.54e-05   6.26e-05   8.12e-05   5.19e-05   0.00e+00   0.00e+00
    75 0.1694   1.73e-06   6.34e-06   1.30e-05   2.62e-05   4.77e-05   6.47e-05   5.84e-05   0.00e+00   0.00e+00
   100 0.1745   1.35e-06   4.96e-06   1.02e-05   2.07e-05   3.81e-05   5.26e-05   5.29e-05   0.00e+00   0.00e+00
   150 0.1796   9.34e-07   3.44e-06   7.11e-06   1.45e-05   2.69e-05   3.78e-05   4.14e-05   4.05e-06   0.00e+00
   200 0.1822   7.13e-07   2.63e-06   5.45e-06   1.11e-05   2.08e-05   2.94e-05   3.34e-05   7.17e-06   0.00e+00
   300 0.1848   4.84e-07   1.79e-06   3.71e-06   7.58e-06   1.42e-05   2.03e-05   2.38e-05   7.56e-06   0.00e+00
   500 0.1868   2.95e-07   1.09e-06   2.26e-06   4.63e-06   8.73e-06   1.25e-05   1.51e-05   5.88e-06   0.00e+00
  1000 0.1884   1.49e-07   5.51e-07   1.15e-06   2.35e-06   4.44e-06   6.38e-06   7.82e-06   3.44e-06   0.00e+00
measured max pressure (J=400 d-scan): {'1/108': 0.018, '1/54': 0.0292, '1/36': 0.0398, '1/24': 0.0512, '1/16': 0.07, '1/12': 0.0888, '1/8': 0.1251, '1/6': 0.1577, '1/4': 0.215}
