U=2: B(X) = min_N [(X/2)p_N + W_U(N)],  H2(1/alpha) = 0.949956
  log2X   N*   log2B(X)   B/X^H2     B/(X^H2 (log2X)^-1.5)   B/(X^H2 (log2X)^-0.5)
     100    61       90.67  4.979e-02    49.7854      0.4979
     350   218      325.75  9.407e-03    61.5978      0.1760
     600   376      562.12  4.331e-03    63.6500      0.1061
     850   533      798.93  2.701e-03    66.9334      0.0787
    1100   692     1035.87  1.843e-03    67.2516      0.0611
    1350   849     1272.93  1.367e-03    67.7991      0.0502
    1600  1006     1510.07  1.075e-03    68.8067      0.0430
    1850  1164     1747.22  8.509e-04    67.7083      0.0366
    2100  1323     1984.43  7.005e-04    67.4077      0.0321
    2350  1480     2221.68  5.947e-04    67.7490      0.0288
    2600  1637     2458.97  5.179e-04    68.6610      0.0264
    2850  1796     2696.28  4.575e-04    69.6102      0.0244
    3100  1953     2933.57  3.986e-04    68.7968      0.0222
    3350  2111     3170.87  3.508e-04    68.0260      0.0203
    3600  2268     3408.24  3.226e-04    69.6815      0.0194
    3850  2427     3645.58  2.896e-04    69.1893      0.0180
