# r  | q0 | j0  | base j=300+r: bit margin, budget slack
# q0 = least q such that every j = 300q + r (j >= 2) up to 6000 passes
   0 |  1 |  300 |   21    6
   2 |  1 |  302 |   20    7
   4 |  1 |  304 |   20    6
   6 |  1 |  306 |   20    7
   8 |  1 |  308 |   21    7
  10 |  1 |  310 |   22    7
  12 |  1 |  312 |   21    7
  14 |  1 |  314 |   21    7
  16 |  1 |  316 |   21    8
  18 |  1 |  318 |   22    7
  20 |  1 |  320 |   23    7
  22 |  1 |  322 |   22    8
  24 |  1 |  324 |   23    8
  26 |  1 |  326 |   23    6
  28 |  1 |  328 |   22    7
  30 |  1 |  330 |   24    7
  32 |  1 |  332 |   23    8
  34 |  1 |  334 |   24    7
  36 |  1 |  336 |   24    7
  38 |  1 |  338 |   23    8
  40 |  1 |  340 |   24    8
  42 |  1 |  342 |   25    7
  44 |  1 |  344 |   25    8
  46 |  1 |  346 |   25    8
  48 |  1 |  348 |   25    9
  50 |  1 |  350 |   25    7
  52 |  1 |  352 |   26    7
  54 |  1 |  354 |   26    8
  56 |  1 |  356 |   26    7
  58 |  1 |  358 |   26    8
  60 |  1 |  360 |   26    8
  62 |  1 |  362 |   27    8
  64 |  1 |  364 |   26    8
  66 |  1 |  366 |   27    8
  68 |  1 |  368 |   28    8
  70 |  1 |  370 |   27    9
  72 |  1 |  372 |   28    8
  74 |  1 |  374 |   27    9
  76 |  1 |  376 |   28    8
  78 |  1 |  378 |   29    8
  80 |  1 |  380 |   28    8
  82 |  1 |  382 |   29    8
  84 |  1 |  384 |   30    8
  86 |  1 |  386 |   29    9
  88 |  1 |  388 |   30    8
  90 |  1 |  390 |   29    9
  92 |  1 |  392 |   30    9
  94 |  1 |  394 |   31    8
  96 |  1 |  396 |   30    9
  98 |  1 |  398 |   31    9
 100 |  0 |  100 |   32    8
 102 |  1 |  402 |   31    8
 104 |  0 |  104 |   32    8
 106 |  1 |  406 |   31    9
 108 |  0 |  108 |   32    9
 110 |  0 |  110 |   33    8
 112 |  0 |  112 |   32    9
 114 |  0 |  114 |   33    9
 116 |  0 |  116 |   32   10
 118 |  0 |  118 |   33    9
 120 |  0 |  120 |   34    9
 122 |  0 |  122 |   33   10
 124 |  0 |  124 |   34    9
 126 |  0 |  126 |   35    8
 128 |  0 |  128 |   34    9
 130 |  0 |  130 |   35    9
 132 |  0 |  132 |   34    9
 134 |  0 |  134 |   35    9
 136 |  0 |  136 |   36    9
 138 |  0 |  138 |   35   10
 140 |  0 |  140 |   36    9
 142 |  0 |  142 |   37    9
 144 |  0 |  144 |   36   10
 146 |  0 |  146 |   37   10
 148 |  0 |  148 |   36   10
 150 |  0 |  150 |   37    9
 152 |  0 |  152 |   38    9
 154 |  0 |  154 |   37   10
 156 |  0 |  156 |   38    9
 158 |  0 |  158 |   37   10
 160 |  0 |  160 |   38   10
 162 |  0 |  162 |   39    9
 164 |  0 |  164 |   38   10
 166 |  0 |  166 |   39   10
 168 |  0 |  168 |   39   10
 170 |  0 |  170 |   39   10
 172 |  0 |  172 |   40   10
 174 |  0 |  174 |   39   11
 176 |  0 |  176 |   40   10
 178 |  0 |  178 |   40    9
 180 |  0 |  180 |   40   10
 182 |  0 |  182 |   40   10
 184 |  0 |  184 |   42   10
 186 |  0 |  186 |   41   10
 188 |  0 |  188 |   42   10
 190 |  0 |  190 |   41   11
 192 |  0 |  192 |   41   11
 194 |  0 |  194 |   42   10
 196 |  0 |  196 |   42   11
 198 |  0 |  198 |   43   11
 200 |  0 |  200 |   43    9
 202 |  0 |  202 |   43   10
 204 |  0 |  204 |   43   10
 206 |  0 |  206 |   42   11
 208 |  0 |  208 |   44   10
 210 |  0 |  210 |   44   10
 212 |  0 |  212 |   44   11
 214 |  0 |  214 |   44   11
 216 |  0 |  216 |   44   11
 218 |  0 |  218 |   45   11
 220 |  0 |  220 |   45   11
 222 |  0 |  222 |   45   12
 224 |  0 |  224 |   45   11
 226 |  0 |  226 |   46   10
 228 |  0 |  228 |   45   11
 230 |  0 |  230 |   47   10
 232 |  0 |  232 |   46   11
 234 |  0 |  234 |   46   11
 236 |  0 |  236 |   47   11
 238 |  0 |  238 |   46   11
 240 |  0 |  240 |   47   11
 242 |  0 |  242 |   48   11
 244 |  0 |  244 |   48   12
 246 |  0 |  246 |   48   11
 248 |  0 |  248 |   47   12
 250 |  0 |  250 |   48   11
 252 |  0 |  252 |   49   11
 254 |  0 |  254 |   49   11
 256 |  0 |  256 |   49   11
 258 |  0 |  258 |   49   12
 260 |  0 |  260 |   49   12
 262 |  0 |  262 |   50   11
 264 |  0 |  264 |   49   12
 266 |  0 |  266 |   50   12
 268 |  0 |  268 |   51   11
 270 |  0 |  270 |   50   12
 272 |  0 |  272 |   51   12
 274 |  0 |  274 |   50   13
 276 |  0 |  276 |   51   11
 278 |  0 |  278 |   52   11
 280 |  0 |  280 |   51   12
 282 |  0 |  282 |   52   12
 284 |  0 |  284 |   53   11
 286 |  0 |  286 |   52   12
 288 |  0 |  288 |   53   12
 290 |  0 |  290 |   52   13
 292 |  0 |  292 |   53   12
 294 |  0 |  294 |   54   12
 296 |  0 |  296 |   53   13
 298 |  0 |  298 |   54   13
# worst base bit margin : (2, 1, 302, 20, 7)
# worst base budget     : (0, 1, 300, 21, 6)
# all even j in [300, 6000] pass: True
# even j < 300 failing: 51 largest: 106
# block step: exact margin 27 bits; with C(475,300) >= 2^430: 11 bits
